year,exporter,exporter_iso3,importer,importer_iso3,trade_value_usd
2019,France,FRA,Sri Lanka,LKA,221300.246
2019,France,FRA,Chad,TCD,209259.757
2019,France,FRA,Chile,CHL,25640858.342
2019,France,FRA,China,CHN,1207221736.581
2019,France,FRA,Colombia,COL,16057932.366
2019,France,FRA,Comoros,COM,164968.358
2019,France,FRA,Congo,COG,1275085.991
2019,France,FRA,Dem. Rep. of the Congo,COD,481779.666
2019,France,FRA,Costa Rica,CRI,1267951.716
2019,France,FRA,Croatia,HRV,26731027.547
2019,France,FRA,Cuba,CUB,9669.115
2019,France,FRA,Cyprus,CYP,8722400.492
2019,France,FRA,Czechia,CZE,68675324.878
2019,France,FRA,Benin,BEN,1603197.713
2019,France,FRA,Denmark,DNK,77885870.126
2019,France,FRA,Dominican Rep.,DOM,3902869.528
2019,France,FRA,Ecuador,ECU,4730586.527
2019,France,FRA,El Salvador,SLV,1307557.468
2019,France,FRA,Equatorial Guinea,GNQ,245724.95
2019,France,FRA,Ethiopia,ETH,984811.008
2019,France,FRA,Estonia,EST,14236291.699
2019,France,FRA,Faroe Isds,FRO,894.583
2019,France,FRA,Fiji,FJI,100317.628
2019,France,FRA,Finland,FIN,21989603.013
2019,France,FRA,French Polynesia,PYF,3649435.933
2019,France,FRA,Djibouti,DJI,650417.048
2019,France,FRA,Gabon,GAB,2642661.165
2019,France,FRA,Georgia,GEO,9626253.375
2019,France,FRA,Gambia,GMB,135228.776
2019,France,FRA,State of Palestine,PSE,210231.595
2019,France,FRA,Germany,DEU,800638677.278
2019,France,FRA,Ghana,GHA,1334248.301
2019,France,FRA,Gibraltar,GIB,785427.497
2019,France,FRA,Greece,GRC,77348524.398
2019,France,FRA,Guam,GUM,135304.911
2019,France,FRA,Guatemala,GTM,1633579.962
2019,France,FRA,Guinea,GIN,644357.617
2019,France,FRA,Haiti,HTI,184481.251
2019,France,FRA,Holy See (Vatican City State),VAT,290598.556
2019,France,FRA,Honduras,HND,1025737.922
